"Country or Area","Year(s)","Variant","Value"
"World","2034","Medium","8814575.171"
"World","2034","High","9077392.307"
"World","2034","Low","8552075.421"
"World","2033","Medium","8748798.542"
"World","2033","High","8981761"
"World","2033","Low","8516092.932"
"World","2032","Medium","8682091.984"
"World","2032","High","8885350.27"
"World","2032","Low","8479031.552"
"World","2031","Medium","8614532.745"
"World","2031","High","8791198.362"
"World","2031","Low","8438011.068"
"World","2030","Medium","8546141.327"
"World","2030","High","8699311.724"
"World","2030","Low","8393068.366"
"World","2029","Medium","8476889.391"
"World","2029","High","8606671.688"
"World","2029","Low","8347165.872"
"World","2028","Medium","8406828.792"
"World","2028","High","8513318.61"
"World","2028","Low","8300368.798"
"World","2027","Medium","8335977.671"
"World","2027","High","8419249.044"
"World","2027","Low","8252716.936"
"World","2026","Medium","8264364.509"
"World","2026","High","8328842.776"
"World","2026","Low","8199886.941"
"World","2025","Medium","8191988.453"
"World","2025","High","8242091.446"
"World","2025","Low","8141883"
"World","2024","Medium","8118835.999"
"World","2024","High","8154602.265"
"World","2024","Low","8083067.406"
"World","2023","Medium","8045311.447"
"World","2023","High","8066769.577"
"World","2023","Low","8023852.2"
"World","2022","Medium","7975105.156"
"World","2022","High","7982260.249"
"World","2022","Low","7967949.823"
"World","2021","Medium","7909295.151"
"World","2020","Medium","7840952.88"
"World","2019","Medium","7764951.032"
"World","2018","Medium","7683789.828"
"World","2017","Medium","7599822.404"
"World","2016","Medium","7513474.238"
"World","2015","Medium","7426597.537"
"World","2014","Medium","7339013.419"
"World","2013","Medium","7250593.37"
"World","2012","Medium","7161697.921"
"World","2011","Medium","7073125.425"
"World","2010","Medium","6985603.105"
"World","2009","Medium","6898305.908"
"World","2008","Medium","6811597.272"
"World","2007","Medium","6725948.544"
"World","2006","Medium","6641416.218"
"World","2005","Medium","6558176.119"
"World","2004","Medium","6475751.478"
"World","2003","Medium","6393898.365"
"World","2002","Medium","6312407.36"
"World","2001","Medium","6230746.982"
"World","2000","Medium","6148898.975"
"World","1999","Medium","6067758.458"
"World","1998","Medium","5987312.48"
"World","1997","Medium","5906481.261"
"World","1996","Medium","5825145.298"
"World","1995","Medium","5743219.454"
"World","1994","Medium","5660727.993"
"World","1993","Medium","5577433.523"
"World","1992","Medium","5492686.093"
"World","1991","Medium","5406245.867"
"World","1990","Medium","5316175.862"
"World","1989","Medium","5223704.308"
"World","1988","Medium","5132293.974"
"World","1987","Medium","5040984.495"
"World","1986","Medium","4950063.339"
"World","1985","Medium","4861730.613"
"World","1984","Medium","4775836.074"
"World","1983","Medium","4691884.238"
"World","1982","Medium","4607984.871"
"World","1981","Medium","4524627.658"
"World","1980","Medium","4444007.706"
"World","1979","Medium","4365582.871"
"World","1978","Medium","4289657.708"
"World","1977","Medium","4215772.49"
"World","1976","Medium","4142505.882"
"World","1975","Medium","4069437.231"
"World","1974","Medium","3995517.077"
"World","1973","Medium","3920251.504"
"World","1972","Medium","3844800.885"
"World","1971","Medium","3770163.092"
"World","1970","Medium","3695390.336"
"World","1969","Medium","3620655.275"
"World","1968","Medium","3546810.808"
"World","1967","Medium","3475448.166"
"World","1966","Medium","3406417.036"
"World","1965","Medium","3337111.983"
"World","1964","Medium","3267212.338"
