"Affaldsproduktion efter affaldsfraktion, behandlingsform, branche og tid"

" "," "," ","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Affald i alt (ekskl. jord)"
" ","I alt"
" "," ","Husholdninger",100784,87622,69184,57272,52229,41249,33162,39738,35915,36065,39126
" "," ","C Industri",352181,69651,45855,47545,51764,37984,44959,44180,41372,38828,48392
" "," ","230020 Betonindustri og teglværker",33904,26709,10540,6358,4768,1614,1350,1202,1651,631,831
" "," ","F Bygge og anlæg",211498,228844,197998,235770,234951,223090,239002,260874,260346,271037,308022
" "," ","41430 Bygge og anlæg",211498,228844,197998,235770,234951,223090,239002,260874,260346,271037,308022
" "," ","410009 Nybyggeri",49193,55601,46767,54556,54674,54814,63665,68392,68105,69509,86538
" "," ","46000 Engroshandel",3975,2863,5450,7165,4613,7271,4114,4959,4720,4376,3047
" "," ","460000 Engroshandel",3975,2863,5450,7165,4613,7271,4114,4959,4720,4376,3047
" "," ","47000 Detailhandel",6454,3157,890,1011,1277,1285,1834,1028,2264,1346,1153
" "," ","470000 Detailhandel",6454,3157,890,1011,1277,1285,1834,1028,2264,1346,1153
" "," ","H Transport",9853,7386,5535,12493,12745,19786,16840,13066,6660,7050,6325
" "," ","49000 Landtransport",8163,5482,4025,4935,3998,2536,6934,4055,2914,3204,3447
" "," ","490010 Regional- og fjerntog",16,86,13,383,524,708,1382,867,531,36,32
" "," ","490020 Lokaltog, bus og taxi mv.",392,255,107,179,182,125,99,120,88,77,45
" "," ","490030 Fragtvognmænd og rørtransport",7756,5141,3905,4372,3292,1704,5452,3068,2295,3090,3369
" "," ","51000 Luftfart",27,6,8,21,66,26,20,24,0,2,0
" "," ","510000 Luftfart",27,6,8,21,66,26,20,24,0,2,0
" "," ","I Hoteller og restauranter",1363,371,215,224,249,306,296,302,200,578,202
" "," ","580020 Udgivelse af computerspil og anden software",0,0,0,0,0,0,0,0,0,7,0
" ","Særlig behandling"
" "," ","Brancher og husholdninger",0,0,0,0,0,0,0,0,0,0,0
" "," ","Husholdninger",0,0,0,0,0,0,0,0,0,0,0
" "," ","C Industri",0,0,0,0,0,0,0,0,0,0,0
" "," ","230020 Betonindustri og teglværker",0,0,0,0,0,0,0,0,0,0,0
" "," ","F Bygge og anlæg",0,0,0,0,0,0,0,0,0,0,0
" "," ","41430 Bygge og anlæg",0,0,0,0,0,0,0,0,0,0,0
